,date,HR_NAME,percentile
126,2001-09-30 00:00:00+00:00,Central Coast,0.5333333333333333
127,2001-10-31 00:00:00+00:00,Central Coast,0.4833333333333334
128,2001-11-30 00:00:00+00:00,Central Coast,0.6666666666666667
129,2001-12-31 00:00:00+00:00,Central Coast,0.7666666666666667
130,2002-01-31 00:00:00+00:00,Central Coast,
131,2002-02-28 00:00:00+00:00,Central Coast,
132,2002-03-31 00:00:00+00:00,Central Coast,0.2166666666666666
133,2002-04-30 00:00:00+00:00,Central Coast,0.1666666666666666
134,2002-05-31 00:00:00+00:00,Central Coast,0.2
135,2002-06-30 00:00:00+00:00,Central Coast,0.3
136,2002-07-31 00:00:00+00:00,Central Coast,0.4333333333333333
137,2002-08-31 00:00:00+00:00,Central Coast,0.4166666666666667
138,2002-09-30 00:00:00+00:00,Central Coast,0.5
139,2002-10-31 00:00:00+00:00,Central Coast,0.4333333333333333
140,2002-11-30 00:00:00+00:00,Central Coast,0.8166666666666668
141,2002-12-31 00:00:00+00:00,Central Coast,0.9333333333333336
142,2003-01-31 00:00:00+00:00,Central Coast,
143,2003-02-28 00:00:00+00:00,Central Coast,
144,2003-03-31 00:00:00+00:00,Central Coast,0.3666666666666667
145,2003-04-30 00:00:00+00:00,Central Coast,0.3
146,2003-05-31 00:00:00+00:00,Central Coast,0.4333333333333333
147,2003-06-30 00:00:00+00:00,Central Coast,0.55
148,2003-07-31 00:00:00+00:00,Central Coast,0.75
149,2003-08-31 00:00:00+00:00,Central Coast,0.6
150,2003-09-30 00:00:00+00:00,Central Coast,0.5666666666666668
151,2003-10-31 00:00:00+00:00,Central Coast,0.3666666666666667
152,2003-11-30 00:00:00+00:00,Central Coast,0.3333333333333333
153,2003-12-31 00:00:00+00:00,Central Coast,0.5333333333333333
154,2004-01-31 00:00:00+00:00,Central Coast,
155,2004-02-29 00:00:00+00:00,Central Coast,
156,2004-03-31 00:00:00+00:00,Central Coast,0.4333333333333333
157,2004-04-30 00:00:00+00:00,Central Coast,0.4333333333333333
158,2004-05-31 00:00:00+00:00,Central Coast,0.2333333333333333
159,2004-06-30 00:00:00+00:00,Central Coast,0.2166666666666666
160,2004-07-31 00:00:00+00:00,Central Coast,0.25
161,2004-08-31 00:00:00+00:00,Central Coast,0.3166666666666667
162,2004-09-30 00:00:00+00:00,Central Coast,0.3666666666666667
163,2004-10-31 00:00:00+00:00,Central Coast,0.6666666666666667
164,2004-11-30 00:00:00+00:00,Central Coast,0.75
165,2004-12-31 00:00:00+00:00,Central Coast,0.9
166,2005-01-31 00:00:00+00:00,Central Coast,
167,2005-02-28 00:00:00+00:00,Central Coast,
168,2005-03-31 00:00:00+00:00,Central Coast,0.8833333333333334
169,2005-04-30 00:00:00+00:00,Central Coast,0.8
170,2005-05-31 00:00:00+00:00,Central Coast,0.8666666666666667
171,2005-06-30 00:00:00+00:00,Central Coast,0.8666666666666667
172,2005-07-31 00:00:00+00:00,Central Coast,0.8666666666666667
173,2005-08-31 00:00:00+00:00,Central Coast,0.8833333333333334
174,2005-09-30 00:00:00+00:00,Central Coast,0.8833333333333334
175,2005-10-31 00:00:00+00:00,Central Coast,0.8333333333333335
176,2005-11-30 00:00:00+00:00,Central Coast,0.5333333333333333
177,2005-12-31 00:00:00+00:00,Central Coast,0.7000000000000001
178,2006-01-31 00:00:00+00:00,Central Coast,
179,2006-02-28 00:00:00+00:00,Central Coast,
180,2006-03-31 00:00:00+00:00,Central Coast,0.5833333333333334
181,2006-04-30 00:00:00+00:00,Central Coast,0.75
182,2006-05-31 00:00:00+00:00,Central Coast,0.9166666666666669
183,2006-06-30 00:00:00+00:00,Central Coast,1.0
184,2006-07-31 00:00:00+00:00,Central Coast,0.9333333333333336
185,2006-08-31 00:00:00+00:00,Central Coast,0.8833333333333334
186,2006-09-30 00:00:00+00:00,Central Coast,0.8833333333333334
187,2006-10-31 00:00:00+00:00,Central Coast,0.8833333333333334
188,2006-11-30 00:00:00+00:00,Central Coast,0.5833333333333334
189,2006-12-31 00:00:00+00:00,Central Coast,0.4166666666666667
190,2007-01-31 00:00:00+00:00,Central Coast,
191,2007-02-28 00:00:00+00:00,Central Coast,
192,2007-03-31 00:00:00+00:00,Central Coast,0.1333333333333333
193,2007-04-30 00:00:00+00:00,Central Coast,0.1333333333333333
194,2007-05-31 00:00:00+00:00,Central Coast,0.1666666666666666
195,2007-06-30 00:00:00+00:00,Central Coast,0.1666666666666666
196,2007-07-31 00:00:00+00:00,Central Coast,0.1666666666666666
197,2007-08-31 00:00:00+00:00,Central Coast,0.3666666666666667
198,2007-09-30 00:00:00+00:00,Central Coast,0.2666666666666666
199,2007-10-31 00:00:00+00:00,Central Coast,0.2
200,2007-11-30 00:00:00+00:00,Central Coast,0.2166666666666666
201,2007-12-31 00:00:00+00:00,Central Coast,0.3333333333333333
202,2008-01-31 00:00:00+00:00,Central Coast,
203,2008-02-29 00:00:00+00:00,Central Coast,
204,2008-03-31 00:00:00+00:00,Central Coast,0.5833333333333334
205,2008-04-30 00:00:00+00:00,Central Coast,0.4666666666666667
206,2008-05-31 00:00:00+00:00,Central Coast,0.3166666666666667
207,2008-06-30 00:00:00+00:00,Central Coast,0.3333333333333333
208,2008-07-31 00:00:00+00:00,Central Coast,0.3666666666666667
209,2008-08-31 00:00:00+00:00,Central Coast,0.4833333333333334
210,2008-09-30 00:00:00+00:00,Central Coast,0.3166666666666667
211,2008-10-31 00:00:00+00:00,Central Coast,0.1333333333333333
212,2008-11-30 00:00:00+00:00,Central Coast,0.2833333333333334
213,2008-12-31 00:00:00+00:00,Central Coast,0.2666666666666666
214,2009-01-31 00:00:00+00:00,Central Coast,
215,2009-02-28 00:00:00+00:00,Central Coast,
216,2009-03-31 00:00:00+00:00,Central Coast,0.3666666666666667
217,2009-04-30 00:00:00+00:00,Central Coast,0.4
218,2009-05-31 00:00:00+00:00,Central Coast,0.3666666666666667
219,2009-06-30 00:00:00+00:00,Central Coast,0.2666666666666666
220,2009-07-31 00:00:00+00:00,Central Coast,0.2
221,2009-08-31 00:00:00+00:00,Central Coast,0.2666666666666666
222,2009-09-30 00:00:00+00:00,Central Coast,0.1666666666666666
223,2009-10-31 00:00:00+00:00,Central Coast,0.9666666666666668
224,2009-11-30 00:00:00+00:00,Central Coast,0.9333333333333336
225,2009-12-31 00:00:00+00:00,Central Coast,0.85
226,2010-01-31 00:00:00+00:00,Central Coast,
227,2010-02-28 00:00:00+00:00,Central Coast,
228,2010-03-31 00:00:00+00:00,Central Coast,0.6666666666666667
229,2010-04-30 00:00:00+00:00,Central Coast,0.6
230,2010-05-31 00:00:00+00:00,Central Coast,0.6
231,2010-06-30 00:00:00+00:00,Central Coast,0.8
232,2010-07-31 00:00:00+00:00,Central Coast,0.7000000000000001
233,2010-08-31 00:00:00+00:00,Central Coast,0.7333333333333334
234,2010-09-30 00:00:00+00:00,Central Coast,0.6666666666666667
235,2010-10-31 00:00:00+00:00,Central Coast,0.7333333333333334
236,2010-11-30 00:00:00+00:00,Central Coast,0.8166666666666668
237,2010-12-31 00:00:00+00:00,Central Coast,0.9666666666666668
238,2011-01-31 00:00:00+00:00,Central Coast,
239,2011-02-28 00:00:00+00:00,Central Coast,
240,2011-03-31 00:00:00+00:00,Central Coast,0.7666666666666667
241,2011-04-30 00:00:00+00:00,Central Coast,0.85
242,2011-05-31 00:00:00+00:00,Central Coast,0.9166666666666669
243,2011-06-30 00:00:00+00:00,Central Coast,0.9
244,2011-07-31 00:00:00+00:00,Central Coast,0.9
245,2011-08-31 00:00:00+00:00,Central Coast,0.95
246,2011-09-30 00:00:00+00:00,Central Coast,0.9333333333333336
247,2011-10-31 00:00:00+00:00,Central Coast,0.9333333333333336
248,2011-11-30 00:00:00+00:00,Central Coast,0.9
249,2011-12-31 00:00:00+00:00,Central Coast,0.4666666666666667
250,2012-01-31 00:00:00+00:00,Central Coast,
251,2012-02-29 00:00:00+00:00,Central Coast,
252,2012-03-31 00:00:00+00:00,Central Coast,0.1666666666666666
253,2012-04-30 00:00:00+00:00,Central Coast,0.2333333333333333
254,2012-05-31 00:00:00+00:00,Central Coast,0.4
255,2012-06-30 00:00:00+00:00,Central Coast,0.5
256,2012-07-31 00:00:00+00:00,Central Coast,0.5
257,2012-08-31 00:00:00+00:00,Central Coast,0.4166666666666667
258,2012-09-30 00:00:00+00:00,Central Coast,0.4333333333333333
259,2012-10-31 00:00:00+00:00,Central Coast,0.3666666666666667
260,2012-11-30 00:00:00+00:00,Central Coast,0.5
261,2012-12-31 00:00:00+00:00,Central Coast,0.7333333333333334
262,2013-01-31 00:00:00+00:00,Central Coast,
263,2013-02-28 00:00:00+00:00,Central Coast,
264,2013-03-31 00:00:00+00:00,Central Coast,0.1
265,2013-04-30 00:00:00+00:00,Central Coast,0.0666666666666666
266,2013-05-31 00:00:00+00:00,Central Coast,0.0666666666666666
267,2013-06-30 00:00:00+00:00,Central Coast,0.1166666666666666
268,2013-07-31 00:00:00+00:00,Central Coast,0.1
269,2013-08-31 00:00:00+00:00,Central Coast,0.1166666666666666
270,2013-09-30 00:00:00+00:00,Central Coast,0.1333333333333333
271,2013-10-31 00:00:00+00:00,Central Coast,0.1
272,2013-11-30 00:00:00+00:00,Central Coast,0.1166666666666666
273,2013-12-31 00:00:00+00:00,Central Coast,0.0666666666666666
274,2014-01-31 00:00:00+00:00,Central Coast,
275,2014-02-28 00:00:00+00:00,Central Coast,
276,2014-03-31 00:00:00+00:00,Central Coast,0.0666666666666666
277,2014-04-30 00:00:00+00:00,Central Coast,0.1
278,2014-05-31 00:00:00+00:00,Central Coast,0.1333333333333333
279,2014-06-30 00:00:00+00:00,Central Coast,0.0666666666666666
280,2014-07-31 00:00:00+00:00,Central Coast,0.0333333333333333
281,2014-08-31 00:00:00+00:00,Central Coast,0.0333333333333333
282,2014-09-30 00:00:00+00:00,Central Coast,0.0333333333333333
283,2014-10-31 00:00:00+00:00,Central Coast,0.05
284,2014-11-30 00:00:00+00:00,Central Coast,0.0333333333333333
285,2014-12-31 00:00:00+00:00,Central Coast,0.6
286,2015-01-31 00:00:00+00:00,Central Coast,
287,2015-02-28 00:00:00+00:00,Central Coast,
288,2015-03-31 00:00:00+00:00,Central Coast,0.0333333333333333
289,2015-04-30 00:00:00+00:00,Central Coast,0.0333333333333333
290,2015-05-31 00:00:00+00:00,Central Coast,0.0333333333333333
291,2015-06-30 00:00:00+00:00,Central Coast,0.0333333333333333
292,2015-07-31 00:00:00+00:00,Central Coast,0.0666666666666666
293,2015-08-31 00:00:00+00:00,Central Coast,0.0666666666666666
294,2015-09-30 00:00:00+00:00,Central Coast,0.0666666666666666
295,2015-10-31 00:00:00+00:00,Central Coast,0.05
296,2015-11-30 00:00:00+00:00,Central Coast,0.0666666666666666
297,2015-12-31 00:00:00+00:00,Central Coast,0.0333333333333333
298,2016-01-31 00:00:00+00:00,Central Coast,
299,2016-02-29 00:00:00+00:00,Central Coast,
300,2016-03-31 00:00:00+00:00,Central Coast,0.3666666666666667
301,2016-04-30 00:00:00+00:00,Central Coast,0.2
302,2016-05-31 00:00:00+00:00,Central Coast,0.2666666666666666
303,2016-06-30 00:00:00+00:00,Central Coast,0.1166666666666666
304,2016-07-31 00:00:00+00:00,Central Coast,0.1333333333333333
305,2016-08-31 00:00:00+00:00,Central Coast,0.1166666666666666
306,2016-09-30 00:00:00+00:00,Central Coast,0.1
307,2016-10-31 00:00:00+00:00,Central Coast,0.2666666666666666
308,2016-11-30 00:00:00+00:00,Central Coast,0.2166666666666666
309,2016-12-31 00:00:00+00:00,Central Coast,0.2166666666666666
310,2017-01-31 00:00:00+00:00,Central Coast,
311,2017-02-28 00:00:00+00:00,Central Coast,
312,2017-03-31 00:00:00+00:00,Central Coast,0.9333333333333336
313,2017-04-30 00:00:00+00:00,Central Coast,0.9333333333333336
314,2017-05-31 00:00:00+00:00,Central Coast,0.6333333333333334
315,2017-06-30 00:00:00+00:00,Central Coast,0.8333333333333335
316,2017-07-31 00:00:00+00:00,Central Coast,0.8333333333333335
317,2017-08-31 00:00:00+00:00,Central Coast,0.8
318,2017-09-30 00:00:00+00:00,Central Coast,0.7833333333333334
319,2017-10-31 00:00:00+00:00,Central Coast,0.7000000000000001
320,2017-11-30 00:00:00+00:00,Central Coast,0.6666666666666667
321,2017-12-31 00:00:00+00:00,Central Coast,0.3333333333333333
322,2018-01-31 00:00:00+00:00,Central Coast,
323,2018-02-28 00:00:00+00:00,Central Coast,
324,2018-03-31 00:00:00+00:00,Central Coast,0.2833333333333334
325,2018-04-30 00:00:00+00:00,Central Coast,0.3333333333333333
326,2018-05-31 00:00:00+00:00,Central Coast,0.5166666666666667
327,2018-06-30 00:00:00+00:00,Central Coast,0.4333333333333333
328,2018-07-31 00:00:00+00:00,Central Coast,0.4
329,2018-08-31 00:00:00+00:00,Central Coast,0.3166666666666667
330,2018-09-30 00:00:00+00:00,Central Coast,0.2333333333333333
331,2018-10-31 00:00:00+00:00,Central Coast,0.1666666666666666
332,2018-11-30 00:00:00+00:00,Central Coast,0.3666666666666667
333,2018-12-31 00:00:00+00:00,Central Coast,0.1333333333333333
334,2019-01-31 00:00:00+00:00,Central Coast,
335,2019-02-28 00:00:00+00:00,Central Coast,
336,2019-03-31 00:00:00+00:00,Central Coast,0.8
337,2019-04-30 00:00:00+00:00,Central Coast,0.85
338,2019-05-31 00:00:00+00:00,Central Coast,0.8166666666666668
339,2019-06-30 00:00:00+00:00,Central Coast,0.7666666666666667
340,2019-07-31 00:00:00+00:00,Central Coast,0.8
341,2019-08-31 00:00:00+00:00,Central Coast,0.8333333333333335
342,2019-09-30 00:00:00+00:00,Central Coast,0.8333333333333335
