,date,HR_NAME,pctl_gwchange,pctl_gwchange_corr,pctl_gwelev,pctl_cumgwchange,pctl_cumgwchange_corr
419,1993-03-31,San Joaquin River,0.5,0.4940119760479042,0.3888888888888889,0.3125,0.1272455089820359
420,1993-09-30,San Joaquin River,0.7777777777777778,0.9236526946107784,0.5,0.3900966183574879,0.2470059880239521
421,1994-03-31,San Joaquin River,0.6578947368421053,0.7365269461077845,0.4692234848484848,0.45,0.3577844311377245
422,1994-09-30,San Joaquin River,0.375,0.2133233532934131,0.3636363636363636,0.3461538461538461,0.1758982035928143
423,1995-03-31,San Joaquin River,0.5625,0.5995508982035929,0.4444444444444444,0.3714285714285714,0.2140718562874251
424,1995-09-30,San Joaquin River,0.75,0.8982035928143712,0.6,0.5,0.4401197604790419
425,1996-03-31,San Joaquin River,0.7222222222222222,0.8570359281437125,0.5833333333333334,0.55,0.5389221556886228
426,1996-09-30,San Joaquin River,0.5925925925925926,0.6422155688622755,0.6273148148148149,0.5769230769230769,0.5898203592814372
427,1997-03-31,San Joaquin River,0.6976744186046512,0.8143712574850299,0.6875,0.65,0.7290419161676647
428,1997-09-30,San Joaquin River,0.6153846153846154,0.6699101796407185,0.6666666666666666,0.6470588235294118,0.7238023952095808
429,1998-03-31,San Joaquin River,0.8,0.9498502994011976,0.8333333333333334,0.7771867612293144,0.9191616766467066
430,1998-09-30,San Joaquin River,0.7906976744186046,0.938622754491018,0.9074074074074074,0.8333333333333334,0.9655688622754492
431,1999-03-31,San Joaquin River,0.7,0.8226047904191617,0.9047619047619048,0.8888888888888888,0.9895209580838324
432,1999-09-30,San Joaquin River,0.4236596736596736,0.3158682634730539,0.8461538461538461,0.84,0.9670658682634732
433,2000-03-31,San Joaquin River,0.54,0.5583832335329342,0.8214285714285714,0.8064516129032258,0.9498502994011976
434,2000-09-30,San Joaquin River,0.6981132075471698,0.8158682634730539,0.875,0.8823529411764706,0.9865269461077844
435,2001-03-31,San Joaquin River,0.5812316715542523,0.625748502994012,0.7692307692307693,0.8278556034482758,0.9625748502994012
436,2001-09-30,San Joaquin River,0.2941176470588235,0.0950598802395209,0.7231800766283525,0.7,0.8143712574850299
437,2002-03-31,San Joaquin River,0.4347826086956521,0.3473053892215569,0.7037037037037037,0.7206557377049181,0.8458083832335329
438,2002-09-30,San Joaquin River,0.4468085106382978,0.3817365269461077,0.7142857142857143,0.703125,0.8173652694610778
439,2003-03-31,San Joaquin River,0.4666666666666667,0.4266467065868263,0.6428571428571429,0.7264150943396226,0.8517964071856288
440,2003-09-30,San Joaquin River,0.3181818181818182,0.1220059880239521,0.5606617647058824,0.56,0.5583832335329342
441,2004-03-31,San Joaquin River,0.45,0.3899700598802395,0.5833333333333334,0.6,0.6332335329341318
442,2004-09-30,San Joaquin River,0.4541958041958042,0.3982035928143712,0.5714285714285714,0.5333333333333333,0.500748502994012
443,2005-03-31,San Joaquin River,0.5625,0.5995508982035929,0.6,0.6111111111111112,0.6511976047904192
444,2005-09-30,San Joaquin River,0.6666666666666666,0.7567365269461078,0.7,0.6666666666666666,0.7597305389221557
445,2006-03-31,San Joaquin River,0.6176470588235294,0.6736526946107785,0.6388888888888888,0.6666666666666666,0.7597305389221557
446,2006-09-30,San Joaquin River,0.5217391304347826,0.530688622754491,0.7142857142857143,0.6666666666666666,0.7597305389221557
447,2007-03-31,San Joaquin River,0.4791304347826087,0.4491017964071856,0.5384615384615384,0.6,0.6332335329341318
448,2007-09-30,San Joaquin River,0.375,0.2133233532934131,0.5833333333333334,0.5526315789473685,0.5449101796407185
449,2008-03-31,San Joaquin River,0.4418604651162791,0.3622754491017964,0.5,0.5254237288135594,0.4910179640718562
450,2008-09-30,San Joaquin River,0.3382352941176471,0.1586826347305389,0.5,0.4716981132075472,0.3877245508982035
451,2009-03-31,San Joaquin River,0.3333333333333333,0.1482035928143712,0.3387096774193548,0.3720930232558139,0.2193113772455089
