,date,reservoir_storage,res_percentile,total_storage,capacity,reporting,value_period,month,day,export_basin,SWDI,SWC,snow_pctl
108,2000-01-31,19014125.0,0.6333333333333334,20990088.440654017,29792564.0,1.0,20990088.440654017,1,31,delta_basin,0.43333333333333335,1975963.440654017,0.2
109,2000-02-29,21006450.0,0.7000000000000001,26821114.288113654,29792564.0,1.0,26821114.288113654,2,29,delta_basin,0.6333333333333334,5814664.2881136555,0.46666666666666673
110,2000-03-31,23677608.0,0.9,33057502.953364097,29792564.0,1.0,33057502.953364097,3,31,delta_basin,0.7333333333333334,9379894.953364095,0.6333333333333334
111,2000-04-30,24197053.0,0.8333333333333335,30472522.96645862,29792564.0,1.0,30472522.96645862,4,30,delta_basin,0.6333333333333334,6275469.9664586205,0.5666666666666668
112,2000-05-31,25443289.0,0.8666666666666667,27604928.412777625,29788364.0,1.0,27604928.412777625,5,31,delta_basin,0.6,2158052.045112855,0.5666666666666668
113,2000-06-30,25938101.0,0.7333333333333334,26004341.97090052,29792564.0,1.0,26004341.97090052,6,30,delta_basin,0.7000000000000001,66240.97090052092,0.5
114,2000-07-31,24364471.0,0.6333333333333334,24364471.0,29792564.0,1.0,24364471.0,7,31,delta_basin,0.6333333333333334,,0.5
115,2000-08-31,21532333.0,0.6,21532333.0,29792564.0,1.0,21532333.0,8,31,delta_basin,0.6,,0.5
116,2000-09-30,19432249.0,0.6,19434024.61998392,29792564.0,1.0,19434024.61998392,9,30,delta_basin,0.6,1775.6199839203914,0.5
117,2000-10-31,18772069.0,0.6666666666666667,18890242.93424547,29792564.0,1.0,18890242.93424547,10,31,delta_basin,0.6666666666666667,118173.93424547074,0.5
118,2000-11-30,18443114.0,0.6666666666666667,19212180.04691642,29763964.0,1.0,19212180.04691642,11,30,delta_basin,0.7000000000000001,751344.1782701602,0.9
119,2000-12-31,18453007.0,0.7000000000000001,19837616.651353136,29792564.0,1.0,19837616.651353136,12,31,delta_basin,0.6,1384609.6513531364,0.43333333333333335
120,2001-01-31,18482402.0,0.5333333333333333,20973686.112570137,29792564.0,1.0,20973686.112570137,1,31,delta_basin,0.4,2491284.112570137,0.3
121,2001-02-28,18777662.0,0.3666666666666667,23526854.704619594,29792564.0,1.0,23526854.704619594,2,28,delta_basin,0.3,4749192.704619592,0.33333333333333337
122,2001-03-31,20055152.0,0.3666666666666667,27115316.515201584,29776839.0,1.0,27115316.515201584,3,31,delta_basin,0.43333333333333335,7049573.489565853,0.4
123,2001-04-30,21952062.0,0.43333333333333335,27323870.51493197,29776839.0,1.0,27323870.51493197,4,30,delta_basin,0.43333333333333335,5360215.74059652,0.43333333333333335
124,2001-05-31,22707062.0,0.43333333333333335,23835154.880385313,29776839.0,1.0,23835154.880385313,5,31,delta_basin,0.3666666666666667,1116101.3943195841,0.3666666666666667
125,2001-06-30,22380404.0,0.3666666666666667,22392249.478155136,29776839.0,1.0,22392249.478155136,6,30,delta_basin,0.3666666666666667,26.498548199499837,0.5
126,2001-07-31,19830881.0,0.33333333333333337,19841353.589240417,29776839.0,1.0,19841353.589240417,7,31,delta_basin,0.33333333333333337,,0.5
127,2001-08-31,17422176.0,0.3666666666666667,17431376.564156592,29776839.0,1.0,17431376.564156592,8,31,delta_basin,0.3666666666666667,,0.5
