,date,HR_NAME,stn_id,year,semester,Unnamed: 0_x,wlm_rpe,wlm_gse,gwe,gse_gwe,Unnamed: 0_y,latitude,longitude,gse,rpe,well_depth,index_right,OBJECTID,Shape__Are,Shape__Len,month,day,gwchange,pctl_gwchange,half_gwchange,cumgwchange,pctl_cumgwchange,pctl_gwelev,reporting,stat,pctl_gwchange_corr,pctl_cumgwchange_corr,reporting2
215,2000-09-30,San Francisco Bay,46360.0,2000.0,2.0,2358090.0,138.21,137.71,84.0,-30.1,40456.0,38.1842,-122.12306,135.75,136.75,200.0,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,0.0,0.49166666666666675,0.0,3.8500000000000005,0.7000000000000001,0.6666666666666667,1.0,median,0.47604790419161674,0.7926646706586826,187
225,2001-03-31,San Francisco Bay,47601.5,2001.0,1.0,2348772.5,136.125,135.625,83.985,-26.795,40270.5,38.0912,-122.10697,134.63299999999998,135.04399999999998,200.0,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,-1.700000000000001,0.3,-0.8500000000000005,2.450000000000001,0.6333333333333334,0.5,1.0,median,0.1092814371257485,0.6856287425149701,188
235,2001-09-30,San Francisco Bay,47619.0,2001.0,2.0,2342620.0,135.5,135.5,73.23,-34.0,40146.0,38.0313,-122.0899,134.266,134.488,208.0,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,-1.7249999999999979,0.3220338983050847,-0.8624999999999989,2.05,0.5357142857142858,0.5333333333333333,1.0,median,0.1377245508982036,0.5134730538922155,183
245,2002-03-31,San Francisco Bay,47625.0,2002.0,1.0,2269755.0,131.25,131.75,76.51,-29.8,38938.0,37.6848,-122.06453,127.35,127.69,220.0,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,0.0,0.5263157894736843,0.0,2.3500000000000014,0.5263157894736843,0.44827586206896547,1.0,median,0.5381736526946108,0.500748502994012,215
255,2002-09-30,San Francisco Bay,47627.5,2002.0,2.0,2260513.0,128.745,127.64500000000001,67.57,-35.85,38674.5,37.659385,-122.06136000000001,127.05000000000001,126.605,220.5,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,-0.8250000000000004,0.4210526315789474,-0.4125000000000002,2.5,0.4827586206896552,0.46666666666666673,1.0,median,0.31137724550898205,0.40119760479041916,218
265,2003-03-31,San Francisco Bay,47625.0,2003.0,1.0,2330553.0,132.55,132.0,81.81,-30.0,39971.0,37.9632,-122.06472,127.7,129.2,209.0,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,0.7999999999999998,0.6388888888888888,0.3999999999999999,2.6999999999999997,0.5277777777777778,0.5714285714285714,1.0,median,0.7058383233532934,0.5029940119760479,219
275,2003-09-30,San Francisco Bay,47626.5,2003.0,2.0,2258848.0,137.48000000000002,136.73000000000002,73.215,-36.06,38635.0,37.64923,-122.048085,135.375,136.175,210.0,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,0.4000000000000057,0.5428571428571428,0.20000000000000284,3.3500000000000005,0.5555555555555556,0.5096153846153846,1.0,median,0.5681137724550899,0.5501497005988024,224
285,2004-03-31,San Francisco Bay,47632.0,2004.0,1.0,2240245.5,141.06,141.46,85.91,-31.45,38281.0,37.4833,-122.0236,141.46,141.05,220.0,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,-0.5999999999999943,0.425,-0.29999999999999716,2.5500000000000007,0.5294117647058824,0.5333333333333333,1.0,median,0.3255988023952096,0.5044910179640718,233
295,2004-09-30,San Francisco Bay,47633.0,2004.0,2.0,2211947.0,141.06,141.46,74.98,-35.04,37511.0,37.45,-122.0103,141.46,141.05,224.0,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,-0.7999999999999989,0.41666666666666674,-0.39999999999999947,2.225000000000003,0.5,0.46666666666666673,1.0,median,0.30389221556886226,0.4408682634730539,239
305,2005-03-31,San Francisco Bay,47637.0,2005.0,1.0,2260473.0,144.97,145.27,94.1,-27.38,38672.0,37.64513,-122.0236,145.27,145.02,224.0,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,1.8499999999999992,0.6862745098039216,0.9249999999999996,2.8749999999999964,0.6333333333333334,0.736842105263158,1.0,median,0.7829341317365269,0.6856287425149701,237
315,2005-09-30,San Francisco Bay,47636.0,2005.0,2.0,2207701.0,144.97,145.27,88.33,-36.2,37445.0,37.44291,-122.00019,145.27,145.02,223.0,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,2.1499999999999986,0.7333333333333334,1.0749999999999993,4.199999999999998,0.736842105263158,0.6785714285714286,1.0,median,0.8712574850299402,0.8480538922155688,235
325,2006-03-31,San Francisco Bay,47636.0,2006.0,1.0,2240238.5,148.67,149.17,101.08,-24.1,38281.0,37.4833,-122.00019,149.17,148.69,220.0,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,2.0999999999999996,0.696969696969697,1.0499999999999998,5.65,0.8275862068965517,0.8965517241379309,1.0,median,0.8046407185628742,0.9513473053892215,235
335,2006-09-30,San Francisco Bay,47646.0,2006.0,2.0,2178644.5,148.67,149.17,91.55000000000001,-34.05,37066.0,37.3775,-121.95729,149.17,148.69,229.0,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,1.2999999999999972,0.6339712918660287,0.6499999999999986,7.1,0.836309523809524,0.7692307692307692,1.0,median,0.6931137724550899,0.9595808383233533,217
345,2007-03-31,San Francisco Bay,47631.5,2007.0,1.0,2228630.5,141.06,141.46,89.315,-30.925,37967.5,37.46755,-122.00935,141.46,141.05,224.0,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,-3.0,0.26253132832080206,-1.5,4.327500000000004,0.7350877192982457,0.5285947712418301,1.0,median,0.06736526946107785,0.8458083832335329,258
355,2007-09-30,San Francisco Bay,47632.5,2007.0,2.0,2210165.5,139.785,139.585,74.55000000000001,-36.925,37483.0,37.447815000000006,-122.01955000000001,139.585,139.62,224.0,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,-4.850000000000001,0.15384615384615385,-2.4250000000000007,1.424999999999999,0.5,0.430952380952381,1.0,median,0.004491017964071856,0.4408682634730539,268
365,2008-03-31,San Francisco Bay,47627.0,2008.0,1.0,2233678.0,134.11,134.0,73.85,-32.3,38102.0,37.4651,-122.06135,134.0,134.2,225.5,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,-2.380000000000006,0.32352941176470595,-1.190000000000003,0.6499999999999995,0.38278388278388276,0.34615384615384615,1.0,median,0.1407185628742515,0.2410179640718563,261
375,2008-09-30,San Francisco Bay,47654.0,2008.0,2.0,2180586.5,145.51,145.71,76.62,-39.0,37089.0,37.39472,-121.99361,145.71,145.48,225.0,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,-2.8400000000000034,0.3035714285714286,-1.4200000000000017,0.29999999999999716,0.3666666666666667,0.3666666666666667,1.0,median,0.11452095808383234,0.21107784431137724,233
385,2009-03-31,San Francisco Bay,47650.0,2009.0,1.0,2184729.5,141.06,141.46,77.395,-31.6,37144.0,37.39917,-121.99361,141.46,141.06,225.0,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,-1.2999999999999972,0.4,-0.6499999999999986,-0.0674999999999999,0.3448275862068965,0.3,1.0,median,0.2687125748502994,0.1781437125748503,251
395,2009-09-30,San Francisco Bay,47635.5,2009.0,2.0,2212031.0,137.48000000000002,136.73000000000002,68.025,-36.325,37512.5,37.45,-122.028465,135.375,136.175,224.0,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,0.13500000000000156,0.5333333333333333,0.06750000000000078,0.20000000000000018,0.35294117647058826,0.4,1.0,median,0.5561377245508982,0.18488023952095808,288
405,2010-03-31,San Francisco Bay,47638.5,2010.0,1.0,2227249.25,137.48000000000002,136.73000000000002,78.08500000000001,-26.725,37923.5,37.46118,-122.03606500000001,135.435,136.175,224.5,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,2.5999999999999996,0.7833333333333334,1.2999999999999998,2.207500000000003,0.5,0.5357142857142858,1.0,median,0.9288922155688623,0.4408682634730539,292
415,2010-09-30,San Francisco Bay,47638.5,2010.0,2.0,2216469.25,137.48000000000002,136.73000000000002,74.14,-34.3875,37629.5,37.45403,-122.03263,135.435,136.175,223.5,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,1.7999999999999998,0.7029411764705883,0.8999999999999999,3.0000000000000018,0.5801282051282052,0.5789473684210527,1.0,median,0.8248502994011976,0.5808383233532934,290
425,2011-03-31,San Francisco Bay,47634.0,2011.0,1.0,2227961.5,123.7,122.7,73.55,-28.1,37920.0,37.5376,-122.03667,122.7,123.7,235.0,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,1.0499999999999985,0.6239041496201052,0.5249999999999992,3.4250000000000003,0.6525862068965517,0.6333333333333334,1.0,median,0.6811377245508982,0.7215568862275449,311
435,2011-09-30,San Francisco Bay,47654.5,2011.0,2.0,2237704.5,111.30000000000001,110.65,58.885,-32.55,38216.5,37.57625,-122.039905,110.625,111.30000000000001,232.0,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,1.7225000000000001,0.6842105263157896,0.8612500000000001,4.474999999999996,0.7142857142857143,0.7666666666666667,1.0,median,0.7799401197604791,0.8151197604790419,350
445,2012-03-31,San Francisco Bay,47659.0,2012.0,1.0,2239544.5,111.2,110.6,71.16,-26.9,38260.0,37.596,-122.03991,110.6,111.2,235.0,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,-0.5,0.4444444444444444,-0.25,2.6700000000000004,0.6594202898550725,0.5555555555555556,1.0,median,0.38023952095808383,0.7305389221556886,353
455,2012-09-30,San Francisco Bay,47667.0,2012.0,2.0,2239145.5,103.6,102.85,53.879999999999995,-35.75,38257.0,37.58927,-122.0588,103.75,104.02,232.0,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,-2.6999999999999975,0.2777777777777778,-1.3499999999999988,0.4475000000000007,0.5454545454545455,0.5625,1.0,median,0.08383233532934131,0.5284431137724551,355
465,2013-03-31,San Francisco Bay,47666.0,2013.0,1.0,2239401.5,103.6,102.85,59.58,-32.97,38259.0,37.58933,-122.05887,103.75,104.02,235.0,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,-2.1900000000000013,0.3035714285714286,-1.0950000000000006,0.49950000000000117,0.5,0.39285714285714285,1.0,median,0.11452095808383234,0.4408682634730539,359
475,2013-09-30,San Francisco Bay,47673.0,2013.0,2.0,2237615.5,114.56,114.6,47.92,-41.1,38216.0,37.56329,-122.05887,114.6,114.69,235.0,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,-3.240000000000002,0.2222222222222222,-1.620000000000001,-0.620750000000001,0.3666666666666667,0.3,1.0,median,0.03293413173652695,0.21107784431137724,347
485,2014-03-31,San Francisco Bay,47678.0,2014.0,1.0,2250148.5,99.11,98.61,46.755,-33.0,38530.0,37.63466,-122.08862,96.65,98.3,240.0,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,-3.4025000000000003,0.16666666666666669,-1.7012500000000002,-1.1027500000000001,0.25,0.18181818181818185,1.0,median,0.0074850299401197605,0.08308383233532934,381
495,2014-09-30,San Francisco Bay,47677.0,2014.0,2.0,2262210.5,98.3,96.65,36.3,-41.6,38732.0,37.668,-122.11639,96.65,98.3,244.0,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,-1.8000000000000007,0.275,-0.9000000000000004,-2.8000000000000007,0.18181818181818185,0.1875,1.0,median,0.08233532934131736,0.04640718562874251,401
505,2015-03-31,San Francisco Bay,47803.0,2015.0,1.0,2268787.0,102.25,102.53,46.91,-33.08,38895.0,37.68521,-122.1229,102.68,103.077,240.0,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,-0.09999999999999964,0.48484848484848486,-0.04999999999999982,-2.5520000000000005,0.1923076923076923,0.2222222222222222,1.0,median,0.4633233532934132,0.05389221556886228,411
515,2015-09-30,San Francisco Bay,47810.5,2015.0,2.0,2267315.5,101.625,100.975,44.59,-39.2875,38869.0,37.68456,-122.132765,102.355,102.38,235.5,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,0.1999999999999993,0.5576923076923077,0.09999999999999964,-1.7800000000000011,0.23076923076923078,0.28571428571428575,1.0,median,0.5883233532934131,0.06811377245508982,422
525,2016-03-31,San Francisco Bay,47812.5,2016.0,1.0,2268802.0,100.75999999999999,100.00999999999999,54.3525,-27.1,38895.5,37.685865,-122.14306,100.345,100.17500000000001,240.0,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,1.8999999999999986,0.7333333333333334,0.9499999999999993,-0.55,0.3076923076923077,0.3956521739130435,1.0,median,0.8712574850299402,0.12874251497005987,430
535,2016-09-30,San Francisco Bay,47813.5,2016.0,2.0,2269368.5,101.625,100.975,53.7975,-33.05,38919.5,37.687565,-122.14500000000001,101.475,101.305,238.0,6.0,18.0,18813803191.07342,1019624.4816192364,9.0,30.0,2.13,0.7647058823529411,1.065,0.634999999999998,0.43333333333333335,0.5375000000000001,1.0,median,0.9131736526946108,0.3248502994011976,442
545,2017-03-31,San Francisco Bay,47814.0,2017.0,1.0,2269426.5,103.077,102.68,67.26,-20.91,38921.0,37.68861,-122.14306,103.18,103.095,235.0,6.0,18.0,18813803191.07342,1019624.4816192364,3.0,31.0,3.200000000000001,0.8666666666666667,1.6000000000000005,2.150000000000001,0.6666666666666666,0.8333333333333335,1.0,median,0.9865269461077845,0.7365269461077845,451
